Gene	Process
LAMP1	autophagy
PIK3C3	autophagy
RPS6KB1	autophagy
TP53	autophagy
AMBRA1	autophagy
ATG4B	autophagy
BAK1	autophagy
CASP8	autophagy
DAPK1	autophagy
GAA	autophagy
HSP90AA1	autophagy
LAMP1	autophagy
PIK3CG	autophagy
SNCA	autophagy
ULK1	autophagy
APP	autophagy
ATG4C	autophagy
BAX	autophagy
CDKN1B	autophagy
DRAM1	autophagy
GAB ARAP	autophagy
HSPA8	autophagy
LAMP1 LC3B	autophagy
PIK3R4	autophagy
SQSTM1	autophagy
ULK2	autophagy
ATG10	autophagy
ATG4D	autophagy
BCL2	autophagy
CDKN2A	autophagy
DRAM2	autophagy
GABARA	autophagy
HTT	autophagy
MAPK14	autophagy
PTEN	autophagy
TGFB1	autophagy
UVRAG	autophagy
ATG12	autophagy
ATG5	autophagy
BCL2L1	autophagy
CLN3	autophagy
EIF2AK3	autophagy
GABARAPL2	autophagy
IFNG	autophagy
MAPK8	autophagy
RAB24	autophagy
TGM2	autophagy
WIP11	autophagy
ATG1 6L1	autophagy
ATG7	autophagy
BEC N1	autophagy
CTSB	autophagy
EIF4G1	autophagy
GUSB	autophagy
IGF1	autophagy
MTOR	autophagy
RB1	autophagy
TMEM74	autophagy
ATG16L2	autophagy
ATG9A	autophagy
BID	autophagy
CTSD	autophagy
ESR1	autophagy
HDAC1	autophagy
INS	autophagy
NFKB1	autophagy
RGS19	autophagy
TNF	autophagy
LRAT	visual_cycle
RPE65	visual_cycle
BCO1	visual_cycle
BCO2	visual_cycle
RLBP1	visual_cycle
CLVS2	visual_cycle
TTPA	visual_cycle
TTPAL	visual_cycle
PTPN9	visual_cycle
RGR	visual_cycle
RHO	visual_cycle
RRH	visual_cycle
RDH5	visual_cycle
RDH8	visual_cycle
RDH10	visual_cycle
RBP3	visual_cycle
OPN5	visual_cycle
OPN1	visual_cycle
OPN1SW	visual_cycle
OPN1MW2	visual_cycle
OPN2	visual_cycle
BDH1	visual_cycle
HSD17B2	visual_cycle
RDH13	visual_cycle
RDH11	visual_cycle
RDH12	visual_cycle
RDH14	visual_cycle
DHRS13	visual_cycle
DHRSX	visual_cycle
DHRSX	visual_cycle
PPARA	ampk2
KLKB1	ampk2
APPL1	ampk2
ADIPOR1	ampk2
HMGCS1	ampk2
HMGCS2	ampk2
OXCT1	ampk2
MCT1	ampk2
MCT7	ampk2
BDH1	ampk2
RHEB	lysosome_autophagy
NFKB1	lysosome_autophagy
S1PR1	lysosome_autophagy
SMPD1	lysosome_autophagy
NPC1	lysosome_autophagy
MCOLN1	lysosome_autophagy
TFEB	lysosome_autophagy
