Name	ID	Organism	log2FoldChange	Base
ATOH7	ENSG00000179774	Mus musculus	0.5534453037574089	Horizontal Cell
ATOH7	ENSG00000179774	Mus musculus	-0.7859448999419387	Microglia
ATOH7	ENSG00000179774	Mus musculus	-0.8129700723153155	Macrophage
ATOH7	ENSG00000179774	Homo sapiens	-0.3909476113999903	Muller Glia
ATOH7	ENSG00000179774	Homo sapiens	0.15877699361489292	Microglia
ATOH7	ENSG00000179774	Mus musculus	-0.47841772259150994	Melanocyte
ATOH7	ENSG00000179774	Homo sapiens	0.06582827288222633	Rod Bipolar Cell
ATOH7	ENSG00000179774	Macaca fascicularis	0.5493945836596742	Amacrine Cell
ATOH7	ENSG00000179774	Macaca fascicularis	0.3753698895212449	Bipolar Cell
ATOH7	ENSG00000179774	Macaca fascicularis	-0.11107638814002073	Cone
ATOH7	ENSG00000179774	Macaca fascicularis	0.7554448638695732	Horizontal Cell
ATOH7	ENSG00000179774	Macaca fascicularis	-0.5147902306533508	Macrophage
ATOH7	ENSG00000179774	Macaca fascicularis	-0.08881884698338438	Melanocyte
ATOH7	ENSG00000179774	Macaca fascicularis	-0.11473464947962353	Microglia
ATOH7	ENSG00000179774	Macaca fascicularis	-0.24018854147881386	Muller Glia
ATOH7	ENSG00000179774	Macaca fascicularis	-0.1037920322040628	Pericyte
ATOH7	ENSG00000179774	Macaca fascicularis	0.1118252283893381	Retinal Ganglion Cell
ATOH7	ENSG00000179774	Macaca fascicularis	0.16590847844872014	Rod
BUB1	ENSG00000169679	Mus musculus	5.4166389721602135	RPC
BUB1	ENSG00000169679	Mus musculus	5.24501133254761	Neurogenic Cell
BUB1	ENSG00000169679	Homo sapiens	-3.0113703083147216	Rod
BUB1	ENSG00000169679	Homo sapiens	4.046516104530543	RPC
BUB1	ENSG00000169679	Mus musculus	-2.472331678521419	Bipolar Cell
BUB1	ENSG00000169679	Mus musculus	-2.2597668486589897	Retinal Ganglion Cell
BUB1	ENSG00000169679	Mus musculus	-3.237151818415132	Muller Glia
BUB1	ENSG00000169679	Homo sapiens	-2.921231562786291	Horizontal Cell
BUB1	ENSG00000169679	Homo sapiens	-1.6548560530057241	Muller Glia
BUB1	ENSG00000169679	Mus musculus	-1.9486846770366237	Amacrine Cell
BUB1	ENSG00000169679	Homo sapiens	-1.9361879600258856	Amacrine Cell
BUB1	ENSG00000169679	Mus musculus	2.249702793948742	Macrophage
BUB1	ENSG00000169679	Mus musculus	-2.00198173926433	Horizontal Cell
BUB1	ENSG00000169679	Mus musculus	-1.7415390329476883	Rod
BUB1	ENSG00000169679	Mus musculus	-1.6999861958313305	Cone
BUB1	ENSG00000169679	Homo sapiens	2.159521704838182	Neurogenic Cell
BUB1	ENSG00000169679	Homo sapiens	1.3551444141841293	Macrophage
BUB1	ENSG00000169679	Homo sapiens	-1.1717202033219998	Retinal Ganglion Cell
BUB1	ENSG00000169679	Homo sapiens	-1.151474964437209	Cone
BUB1	ENSG00000169679	Homo sapiens	-0.8947086102859197	Bipolar Cell
BUB1	ENSG00000169679	Mus musculus	-1.908203275594389	AC/HC Precursor
BUB1	ENSG00000169679	Mus musculus	-1.8533693347408078	Rod Bipolar Cell
BUB1	ENSG00000169679	Homo sapiens	0.8205808862867371	Microglia
BUB1	ENSG00000169679	Homo sapiens	-0.9802326290791741	AC/HC Precursor
BUB1	ENSG00000169679	Mus musculus	-0.7144859497603966	Pericyte
BUB1	ENSG00000169679	Homo sapiens	-0.5805211622723128	Pericyte
BUB1	ENSG00000169679	Homo sapiens	-0.5100274592517302	Rod Bipolar Cell
BUB1	ENSG00000169679	Homo sapiens	-0.15413384512927447	Melanocyte
BUB1	ENSG00000169679	Mus musculus	-0.5350119927318684	Melanocyte
BUB1	ENSG00000169679	Mus musculus	0.08144956415370148	Microglia
BUB1	ENSG00000169679	Macaca fascicularis	-0.23083538534085823	Amacrine Cell
BUB1	ENSG00000169679	Macaca fascicularis	-0.2855149671261258	Bipolar Cell
BUB1	ENSG00000169679	Macaca fascicularis	-0.31559598048170645	Cone
BUB1	ENSG00000169679	Macaca fascicularis	0.17408155724382018	Horizontal Cell
BUB1	ENSG00000169679	Macaca fascicularis	1.209535908416284	Macrophage
BUB1	ENSG00000169679	Macaca fascicularis	-0.06072110144654312	Melanocyte
BUB1	ENSG00000169679	Macaca fascicularis	1.085910412302515	Microglia
BUB1	ENSG00000169679	Macaca fascicularis	-0.2881560596614088	Muller Glia
BUB1	ENSG00000169679	Macaca fascicularis	-0.16446577961092418	Pericyte
BUB1	ENSG00000169679	Macaca fascicularis	-0.15990339804082626	Retinal Ganglion Cell
BUB1	ENSG00000169679	Macaca fascicularis	-0.33756845570918725	Rod
C1QA	ENSG00000173372	Homo sapiens	12.209601473555166	Microglia
C1QA	ENSG00000173372	Homo sapiens	10.825830131071374	Macrophage
C1QA	ENSG00000173372	Macaca fascicularis	11.742407023182034	Microglia
C1QA	ENSG00000173372	Macaca fascicularis	11.663367176760046	Macrophage
C1QA	ENSG00000173372	Mus musculus	11.298880153426742	Microglia
C1QA	ENSG00000173372	Mus musculus	10.093370188641309	Macrophage
C1QA	ENSG00000173372	Macaca fascicularis	-4.596839065561654	Amacrine Cell
C1QA	ENSG00000173372	Macaca fascicularis	-3.756896986640876	Retinal Ganglion Cell
C1QA	ENSG00000173372	Mus musculus	-4.59564890077953	Neurogenic Cell
C1QA	ENSG00000173372	Homo sapiens	-2.750157061652019	Amacrine Cell
C1QA	ENSG00000173372	Homo sapiens	-2.0756691808018592	Bipolar Cell
C1QA	ENSG00000173372	Homo sapiens	-2.9557985112910012	RPC
C1QA	ENSG00000173372	Mus musculus	4.354477281078536	Melanocyte
C1QA	ENSG00000173372	Mus musculus	-2.860922783130354	RPC
C1QA	ENSG00000173372	Homo sapiens	-1.6206468193590176	Muller Glia
C1QA	ENSG00000173372	Homo sapiens	1.6778497107903014	Pericyte
C1QA	ENSG00000173372	Mus musculus	-1.9957885923334031	Horizontal Cell
C1QA	ENSG00000173372	Mus musculus	1.6221283225237604	Cone
C1QA	ENSG00000173372	Macaca fascicularis	-2.6224056546338548	Pericyte
C1QA	ENSG00000173372	Mus musculus	1.9431392638243887	Pericyte
C1QA	ENSG00000173372	Homo sapiens	-1.01939891205266	Retinal Ganglion Cell
C1QA	ENSG00000173372	Mus musculus	-1.5724021067387655	AC/HC Precursor
C1QA	ENSG00000173372	Mus musculus	-1.7187133761822417	Rod Bipolar Cell
C1QA	ENSG00000173372	Macaca fascicularis	-1.9470785608879113	Cone
C1QA	ENSG00000173372	Mus musculus	0.8450174763821894	Amacrine Cell
C1QA	ENSG00000173372	Homo sapiens	1.2804118430110096	AC/HC Precursor
C1QA	ENSG00000173372	Mus musculus	-0.626605849280217	Retinal Ganglion Cell
C1QA	ENSG00000173372	Homo sapiens	-1.0534640288600103	Rod Bipolar Cell
C1QA	ENSG00000173372	Mus musculus	0.553854159770735	Rod
C1QA	ENSG00000173372	Homo sapiens	-0.435750155147779	Cone
C1QA	ENSG00000173372	Macaca fascicularis	-0.9169466512847931	Rod
C1QA	ENSG00000173372	Homo sapiens	-0.7890109176091122	Neurogenic Cell
C1QA	ENSG00000173372	Homo sapiens	-0.2815033332421712	Rod
C1QA	ENSG00000173372	Homo sapiens	-0.334241240924134	Horizontal Cell
C1QA	ENSG00000173372	Homo sapiens	-0.18838585837237987	Melanocyte
C1QA	ENSG00000173372	Mus musculus	-0.2653834855177143	Muller Glia
C1QA	ENSG00000173372	Mus musculus	0.13244963051332867	Bipolar Cell
C1QA	ENSG00000173372	Macaca fascicularis	0.1751420326742174	Horizontal Cell
C1QA	ENSG00000173372	Macaca fascicularis	-1.0487292268317145	Melanocyte
C1QA	ENSG00000173372	Macaca fascicularis	-0.6426431690624113	Bipolar Cell
C1QA	ENSG00000173372	Macaca fascicularis	-0.3793515593992622	Muller Glia
C1QB	ENSG00000173369	Homo sapiens	12.529173392241171	Microglia
C1QB	ENSG00000173369	Homo sapiens	11.209212818172173	Macrophage
C1QB	ENSG00000173369	Macaca fascicularis	10.985852157505391	Microglia
C1QB	ENSG00000173369	Macaca fascicularis	11.62880648905524	Macrophage
C1QB	ENSG00000173369	Mus musculus	12.093076667094191	Microglia
C1QB	ENSG00000173369	Mus musculus	9.97705267381573	Macrophage
C1QB	ENSG00000173369	Homo sapiens	-2.5826699593203926	Muller Glia
C1QB	ENSG00000173369	Mus musculus	-2.45223322627179	Bipolar Cell
C1QB	ENSG00000173369	Mus musculus	-2.7262592698141406	Horizontal Cell
C1QB	ENSG00000173369	Mus musculus	-3.0396503021006698	Neurogenic Cell
C1QB	ENSG00000173369	Homo sapiens	-1.4542579551242634	Rod
C1QB	ENSG00000173369	Macaca fascicularis	-3.059470793942001	Rod
C1QB	ENSG00000173369	Mus musculus	-2.329332432071876	Rod
C1QB	ENSG00000173369	Homo sapiens	-1.7464285688898993	Amacrine Cell
C1QB	ENSG00000173369	Macaca fascicularis	-2.727311784099894	Pericyte
C1QB	ENSG00000173369	Mus musculus	-1.8007570568150029	Cone
C1QB	ENSG00000173369	Mus musculus	3.1810552434801767	Melanocyte
C1QB	ENSG00000173369	Mus musculus	-1.9739734273444942	RPC
C1QB	ENSG00000173369	Homo sapiens	-1.7222975574173223	RPC
C1QB	ENSG00000173369	Homo sapiens	-1.9563792253213366	Rod Bipolar Cell
C1QB	ENSG00000173369	Mus musculus	1.7716516108439146	Pericyte
C1QB	ENSG00000173369	Homo sapiens	-0.9475844746764892	Bipolar Cell
C1QB	ENSG00000173369	Homo sapiens	-1.9257351964755607	Neurogenic Cell
C1QB	ENSG00000173369	Macaca fascicularis	-2.207115324084722	Cone
C1QB	ENSG00000173369	Homo sapiens	1.02547312520215	Pericyte
C1QB	ENSG00000173369	Homo sapiens	-1.0914309453236717	Horizontal Cell
C1QB	ENSG00000173369	Mus musculus	-1.5720899933692891	AC/HC Precursor
C1QB	ENSG00000173369	Mus musculus	-1.614402710006995	Rod Bipolar Cell
C1QB	ENSG00000173369	Macaca fascicularis	-1.4600907313243605	Muller Glia
C1QB	ENSG00000173369	Macaca fascicularis	-1.0413136007676789	Retinal Ganglion Cell
C1QB	ENSG00000173369	Homo sapiens	-0.555886526531647	Retinal Ganglion Cell
C1QB	ENSG00000173369	Homo sapiens	-0.6336292691003649	Cone
C1QB	ENSG00000173369	Mus musculus	-0.507949216711439	Retinal Ganglion Cell
C1QB	ENSG00000173369	Homo sapiens	-0.39933098914477044	Melanocyte
C1QB	ENSG00000173369	Macaca fascicularis	-1.190079773134316	Bipolar Cell
C1QB	ENSG00000173369	Mus musculus	-0.3814982660588922	Amacrine Cell
C1QB	ENSG00000173369	Macaca fascicularis	-0.8541098721081807	Amacrine Cell
